,date,runs,balls
0,2013-03-17,18,9
1,2013-03-18,32,22
2,2013-03-19,82,54
3,2013-03-22,37,32
4,2013-03-26,29,24
5,2013-03-27,0,2
6,2013-03-29,4,5
7,2013-03-30,4,4
8,2013-03-31,1,4
9,2013-04-05,19,18
10,2013-04-07,2,4
11,2013-04-09,20,19
12,2013-04-12,19,19
13,2013-04-14,27,31
14,2013-04-17,12,9
15,2013-05-04,14,18
16,2013-05-08,44,30
17,2013-05-11,61,47
18,2013-05-13,26,14
19,2013-05-17,2,6
20,2013-05-19,47,37
21,2013-05-22,1,3
22,2013-09-17,52,42
23,2013-09-18,23,21
24,2013-09-20,12,12
25,2013-09-24,17,15
26,2013-09-26,37,28
27,2013-09-28,26,24
