,date,runs,balls
0,2013-02-17,126,69
1,2013-02-20,47,40
2,2013-02-22,19,12
3,2013-02-24,47,32
4,2013-03-02,9,14
5,2013-03-08,0,6
6,2013-03-12,42,33
7,2013-03-19,73,40
8,2013-03-22,20,22
9,2013-03-28,97,61
10,2013-04-07,44,31
11,2013-04-17,2,8
12,2013-04-19,0,4
13,2013-04-25,4,3
14,2013-08-02,5,7
15,2013-08-04,19,23
16,2013-08-06,16,19
17,2013-09-23, , 
18,2013-09-25,18,10
19,2013-09-27,19,22
20,2013-09-29,109,63
21,2013-11-13,48,38
22,2013-11-15,30,19
23,2013-11-20,43,33
24,2013-11-22,26,24
25,2014-01-05,26,22
26,2014-01-12,71,54
27,2014-01-15,24,16
28,2014-01-17,52,39
29,2014-01-19,22,17
30,2014-01-22,31,17
31,2014-01-24, , 
32,2014-01-26,70,50
33,2014-01-31,46,42
34,2014-02-02,37,28
