,date,runs,balls
0,2013-02-14,6,9
1,2013-02-16,1,2
2,2013-02-17,44,28
3,2013-02-19,2,3
4,2013-05-09,31,21
5,2013-05-12,11,7
6,2013-05-15,42,30
7,2013-05-19,1,5
8,2013-06-28, , 
9,2013-07-04,3,8
10,2013-07-05,31,23
11,2013-07-08,27,17
12,2013-07-12,0,1
13,2013-07-14,42,26
14,2013-07-15, , 
15,2013-07-21,2,4
16,2013-07-26,28,15
17,2013-07-31,60,39
18,2013-08-08,82,44
19,2013-08-17,13,15
20,2013-09-18,64,32
21,2013-09-20,3,5
22,2013-09-25,66,26
23,2013-09-29,9,8
24,2013-10-01,26,27
25,2013-11-02,35,26
26,2013-11-09,42,30
27,2013-11-15,29,21
28,2013-12-27,1,2
29,2014-01-03,0,3
30,2014-01-05,50,32
31,2014-01-08,45,18
32,2014-01-18,36,24
