,date,runs,balls
0,2013-02-14,59,29
1,2013-02-15,38,21
2,2013-02-19,41,29
3,2013-05-11,65,40
4,2013-05-12,40,28
5,2013-06-28,31,14
6,2013-06-29,4,4
7,2013-07-05,1,4
8,2013-07-07,12,16
9,2013-07-09,14,10
10,2013-07-12,43,21
11,2013-07-23,23,16
12,2013-07-25,15,23
13,2013-07-26,3,4
14,2013-07-28, , 
15,2013-07-30,5,5
16,2013-08-01,1,6
17,2013-08-03,1,6
18,2013-08-08,12,9
19,2013-08-11,3,9
20,2013-08-13,0,3
21,2013-08-17, , 
22,2013-08-23, , 
23,2013-12-23,33,25
24,2013-12-25,8,10
25,2013-12-26,57,28
26,2013-12-28,1,3
27,2013-12-29,25,19
28,2013-12-31,14,14
29,2014-01-05,46,30
30,2014-01-09,2,8
31,2014-02-12,26,17
