,date,runs,balls
0,2014-02-17,3,15
1,2014-02-20,56,39
2,2014-02-22,20,26
3,2014-02-25,55,50
4,2014-02-28,6,18
5,2014-03-03,45,41
6,2014-03-06,74,103
7,2014-03-08,16,13
8,2014-05-06,30,53
9,2014-05-13,19,16
10,2014-05-16,51,59
11,2014-05-22,18,21
12,2014-05-25,30,35
13,2014-05-28,11,12
14,2014-05-31,30,30
15,2014-06-03,42,34
16,2014-07-06,13,13
17,2014-07-09,34,38
18,2014-07-12,58,81
19,2014-08-23,89,85
20,2014-08-26,93,115
21,2014-08-30,0,1
22,2014-11-02,23,32
23,2014-11-06,92,101
24,2014-11-09,10,14
25,2014-11-13,75,68
26,2014-11-16,139,116
27,2014-11-26,33,24
28,2014-11-29, , 
29,2014-12-03,37,45
30,2014-12-07,51,60
31,2014-12-10,40,76
32,2014-12-13,1,5
33,2014-12-16,20,27
34,2015-01-11,15,33
35,2015-01-15,39,46
36,2015-01-17, , 
37,2015-01-20,0,1
38,2015-02-14,46,52
