,date,runs,balls
0,2014-03-05,1,3
1,2014-05-09,31,23
2,2014-05-22,3,3
3,2014-05-25,40,58
4,2014-05-28, , 
5,2014-05-31,12,17
6,2014-06-03,17,27
7,2014-07-26,4,5
8,2014-07-27,32,59
9,2014-07-31,128,86
10,2014-08-07,8,6
11,2014-08-08, , 
12,2014-08-10, , 
13,2014-08-14,19,14
14,2014-08-20,31,38
15,2014-08-27,28,45
16,2014-08-30,10,18
17,2014-09-02,32,58
18,2014-09-05,14,34
19,2014-11-21, , 
20,2014-11-26,1,3
21,2014-11-29,17,29
22,2014-12-03,1,4
23,2014-12-07,62,47
24,2014-12-10,5,5
25,2014-12-13,0,1
26,2014-12-16,4,14
27,2015-01-16,121,136
28,2015-01-20, , 
29,2015-01-23,0,1
30,2015-01-30,2,13
31,2015-02-01,0,1
32,2015-02-14,0,6
