,date,runs,balls
0,2014-02-28,23,24
1,2014-03-02,38,59
2,2014-03-05,5,5
3,2014-05-09,3,4
4,2014-05-13,0,2
5,2014-05-22,3,6
6,2014-05-25,7,24
7,2014-05-28, , 
8,2014-05-31,51,47
9,2014-06-03,17,30
10,2014-07-27,59,83
11,2014-07-31,11,17
12,2014-08-06,74,99
13,2014-08-08,25,29
14,2014-08-11,106,101
15,2014-08-12,2,10
16,2014-08-13,51,52
17,2014-08-21,61,83
18,2014-08-28,20,28
19,2014-11-26,65,62
20,2014-11-29,51,69
21,2014-12-03,6,3
22,2014-12-07,22,31
23,2014-12-10,28,49
24,2014-12-13,13,20
25,2015-01-16,13,18
26,2015-01-20, , 
27,2015-01-23,7,16
28,2015-01-30,4,6
29,2015-02-01,33,59
