,date,runs,balls
0,2014-04-25,16,17
1,2014-04-27,26,18
2,2014-05-03,14,15
3,2014-05-05,0,1
4,2014-05-07,6,12
5,2014-05-10,35,19
6,2014-05-13,33,29
7,2014-05-15,13,18
8,2014-05-19,49,32
9,2014-05-23,44,31
10,2014-05-25,58,41
11,2014-06-06,5,8
12,2014-06-13, , 
13,2014-06-20,1,5
14,2014-06-27,24,20
15,2014-07-02,16,13
16,2014-07-04,1,11
17,2014-07-11,20,17
18,2014-07-16,39,28
19,2014-07-18,17,10
20,2014-07-24,28,24
21,2014-07-25,32,31
22,2014-08-02,29,27
23,2014-08-09,23,29
24,2014-08-10,7,4
25,2014-08-23,13,16
26,2014-12-18,66,46
27,2014-12-20,1,3
28,2015-01-03,25,28
29,2015-01-05,54,43
30,2015-01-10,49,49
31,2015-01-17,67,42
32,2015-01-21,0,1
33,2015-01-25,31,27
