,date,runs,balls
0,2015-05-29,11,6
1,2015-06-05,17,12
2,2015-06-07,4,8
3,2015-06-12,10,8
4,2015-06-18,22,23
5,2015-06-19,22,9
6,2015-06-23,1,2
7,2015-06-26,33,20
8,2015-07-03,16,17
9,2015-07-05,1,2
10,2015-07-10,8,12
11,2015-07-14,8,8
12,2015-07-17,30,19
13,2015-08-09,23,11
14,2015-08-14,0,1
15,2015-08-16,18,7
16,2015-11-11,20,7
17,2015-11-15,89,40
18,2015-11-18,18,13
19,2015-11-22,45,17
20,2015-11-26,30,23
21,2015-11-29,38,34
22,2015-12-05,82,39
23,2015-12-06,28,22
24,2015-12-11, , 
25,2015-12-12,2,6
26,2015-12-13,14,7
27,2016-01-07,36,26
28,2016-01-10,50,14
29,2016-01-15,56,27
30,2016-01-17, , 
31,2016-01-22,4,3
