,date,runs,balls
0,2015-04-09,34,31
1,2015-04-11,27,26
2,2015-04-17,62,30
3,2015-04-19,40,29
4,2015-04-22,39,29
5,2015-04-25,26,13
6,2015-04-28,25,19
7,2015-04-30,0,1
8,2015-05-02,21,19
9,2015-05-04,0,6
10,2015-05-08,27,34
11,2015-05-10,6,10
12,2015-05-12,18,24
13,2015-05-19,0,4
14,2015-05-22,17,12
15,2015-05-24,57,48
16,2015-06-20,13,12
17,2015-06-23,56,53
18,2015-06-25,33,29
19,2015-06-27,10,16
20,2015-07-01,22,28
21,2015-07-03,16,18
22,2015-07-06,20,23
23,2015-07-11,27,25
24,2015-07-16,13,13
25,2015-07-18,14,16
26,2015-07-26,49,30
