,date,runs,balls
0,2015-03-25,56,43
1,2015-03-26,30,31
2,2015-03-27,0,6
3,2015-03-28,26,28
4,2015-03-29,28,29
5,2015-04-10,5,6
6,2015-04-12,11,12
7,2015-04-14,17,16
8,2015-04-16,26,30
9,2015-04-19, , 
10,2015-04-21,5,2
11,2015-04-24,4,7
12,2015-04-29, , 
13,2015-05-01,76,46
14,2015-05-03, , 
15,2015-05-07,21,10
16,2015-05-10,26,17
17,2015-05-16,8,9
18,2015-05-20,5,8
19,2015-07-19,19,24
20,2016-01-02,4,9
21,2016-01-03,25,17
22,2016-01-04,56,49
23,2016-01-06,1,6
24,2016-01-09,72,56
25,2016-01-10,87,53
26,2016-01-15,22,24
27,2016-01-16,0,1
28,2016-01-18,0,1
