,date,runs,balls
0,2016-02-06,14,13
1,2016-02-09,20,23
2,2016-02-12,6,16
3,2016-02-14,8,15
4,2016-06-05,32,40
5,2016-06-08,46,43
6,2016-06-14,32,32
7,2016-06-15,29,43
8,2016-06-21,3,10
9,2016-06-24,112,95
10,2016-06-26,5,7
11,2016-06-29,162,118
12,2016-07-02,34,34
13,2016-07-24,55,60
14,2016-07-27,34,27
15,2016-08-01,93,67
16,2016-08-02,0,1
17,2016-08-18,42,34
18,2016-08-24,65,56
19,2016-08-27,0,2
20,2016-08-30,15,19
21,2016-09-01,14,11
22,2016-09-04,87,89
23,2016-09-17,24,30
24,2016-10-07,41,40
25,2016-10-09,13,21
26,2017-01-10,62,57
27,2017-01-15,73,61
28,2017-01-19,82,73
29,2017-01-22,65,56
