,date,runs,balls
0,2016-04-22,7,15
1,2016-04-26,90,91
2,2016-04-30,5,5
3,2016-05-04,63,88
4,2016-05-09,54,64
5,2016-05-12,4,6
6,2016-05-16,48,52
7,2016-05-24,55,66
8,2016-05-28,10,9
9,2016-06-01,40,46
10,2016-06-06,105,86
11,2016-06-12,3,14
12,2016-06-15,22,32
13,2016-06-18,33,35
14,2016-06-20,33,46
15,2016-06-22,142,132
16,2016-09-25,80,98
17,2016-09-28,20,36
18,2016-10-01,118,118
19,2016-10-07,17,31
20,2016-10-09,14,31
21,2016-10-12,45,68
22,2016-12-26,38,59
23,2016-12-29,16,23
24,2016-12-31,59,88
