,date,runs,balls
0,2016-02-17,0,0
1,2016-02-19,15,15
2,2016-02-21,1,2
3,2016-03-16, , 
4,2016-03-18,5,3
5,2016-03-23,15,18
6,2016-03-26, , 
7,2016-03-30, , 
8,2016-04-03,12,13
9,2016-05-07, , 
10,2016-05-09, , 
11,2016-05-11, , 
12,2016-05-14, , 
13,2016-05-16, , 
14,2016-05-18, , 
15,2016-05-22, , 
16,2016-05-24, , 
17,2016-05-29,3,4
18,2016-06-01,4,3
19,2016-06-03,30,23
20,2016-06-10,16,13
21,2016-06-16, , 
22,2016-06-30, , 
23,2016-07-05, , 
24,2016-07-07,12,12
25,2016-07-15,1,6
26,2016-07-21,45,21
27,2016-07-22,2,3
28,2016-07-28, , 
29,2016-09-07, , 
30,2016-12-21,1,2
31,2016-12-23,1,2
32,2016-12-31,18,19
33,2017-01-02,1,2
34,2017-01-06,15,14
35,2017-01-26, , 
36,2017-01-29,0,1
37,2017-02-01,0,2
