,date,runs,balls
0,2016-02-05,10,4
1,2016-02-06, , 
2,2016-02-07,48,31
3,2016-02-11,18,10
4,2016-02-12, , 
5,2016-02-13,6,4
6,2016-02-14, , 
7,2016-02-17,11,6
8,2016-02-19,38,29
9,2016-02-21,9,8
10,2016-03-16, , 
11,2016-03-20, , 
12,2016-03-25,0,1
13,2016-03-27,6,10
14,2016-03-31, , 
15,2016-04-03,2,2
16,2016-06-02,27,15
17,2016-06-03,2,5
18,2016-06-08,30,17
19,2016-06-09,0,1
20,2016-06-19,0,5
21,2016-06-24,11,10
22,2016-06-25, , 
23,2016-06-29,11,5
24,2016-07-03,19,14
25,2016-07-12,11,6
26,2016-07-17,18,14
27,2016-07-21,59,35
28,2016-07-23,0,2
29,2016-07-24, , 
30,2016-07-26,37,18
31,2016-07-30,11,6
32,2016-07-31,6,4
33,2016-08-04,40,22
34,2016-11-04, , 
35,2016-11-09,31,23
36,2016-11-11,0,0
37,2016-11-13,27,19
38,2016-11-18,14,7
39,2016-11-19,0,1
40,2016-11-21,9,8
41,2016-11-25,44,18
42,2016-11-26,71,34
43,2016-11-28,5,6
44,2016-11-30,0,1
45,2016-12-01,11,7
46,2016-12-03,3,3
47,2016-12-06,55,27
48,2016-12-07, , 
49,2016-12-09,6,4
