,date,runs,balls
0,2016-02-19,2,2
1,2016-02-21, , 
2,2016-03-04,13,11
3,2016-03-06,10,3
4,2016-03-09, , 
5,2016-03-20,0,0
6,2016-03-25,28,26
7,2016-03-28, , 
8,2016-04-17,5,4
9,2016-06-01, , 
10,2016-06-03,16,8
11,2016-06-10,10,4
12,2016-06-16, , 
13,2016-07-01,1,1
14,2016-07-05, , 
15,2016-07-11, , 
16,2016-07-13,1,1
17,2016-07-20,0,1
18,2016-07-23,17,14
19,2016-07-28,40,31
20,2016-07-30,13,6
21,2016-11-12, , 
22,2016-11-16, , 
23,2016-11-18,34,15
24,2016-11-20,0,0
25,2016-11-25, , 
26,2016-11-27,8,6
27,2016-11-30, , 
28,2016-12-02,36,28
29,2016-12-07,17,5
30,2016-12-11, , 
31,2016-12-16,24,15
