,date,runs,balls
0,2016-02-09,6,9
1,2016-02-12,1,1
2,2016-02-14, , 
3,2016-02-24,0,0
4,2016-02-27, , 
5,2016-03-01, , 
6,2016-03-06, , 
7,2016-03-15,0,3
8,2016-03-19, , 
9,2016-03-23,12,8
10,2016-03-27, , 
11,2016-03-31, , 
12,2016-04-11,8,12
13,2016-04-14,4,8
14,2016-04-21,14,14
15,2016-04-24,12,10
16,2016-04-27,4,7
17,2016-04-29,0,1
18,2016-05-01,11,11
19,2016-05-03,36,26
20,2016-05-06,18,13
21,2016-05-08,9,9
22,2016-05-14,21,19
23,2016-05-19,11,10
24,2016-05-21,21,15
25,2016-05-24,3,7
26,2016-05-27,19,15
27,2016-08-27, , 
28,2016-08-28, , 
