,date,runs,balls
0,2016-02-17,42,13
1,2016-02-19,10,12
2,2016-02-21,38,23
3,2016-03-16,27,14
4,2016-03-18,12,15
5,2016-03-23,0,1
6,2016-03-26,22,16
7,2016-03-30,0,1
8,2016-04-03,5,12
9,2016-04-12,22,18
10,2016-04-16,51,43
11,2016-04-18,11,12
12,2016-04-21, , 
13,2016-04-23,25,20
14,2016-04-26,0,2
15,2016-05-20,14,10
16,2016-06-02,13,16
17,2016-06-10,59,41
18,2016-06-16, , 
19,2016-06-17,3,4
20,2016-07-05,47,39
21,2016-07-08,58,48
22,2016-07-15,43,41
23,2016-07-21,42,24
24,2016-07-22,2,5
25,2016-09-07,14,16
26,2016-12-20,26,19
27,2016-12-22,2,5
28,2016-12-28,52,43
29,2017-01-01,8,10
30,2017-01-04,71,50
31,2017-01-26,51,38
32,2017-01-29,17,23
33,2017-02-01,40,21
