,date,runs,balls
0,2016-02-11, , 
1,2016-02-13,5,5
2,2016-02-14,40,29
3,2016-02-16,3,3
4,2016-02-19,5,9
5,2016-02-23,12,9
6,2016-02-28,0,2
7,2016-03-15,9,12
8,2016-03-18,27,20
9,2016-03-22,1,1
10,2016-03-26,9,7
11,2016-03-30,4,6
12,2016-07-12,5,3
13,2016-07-24, , 
14,2016-07-26,12,10
15,2016-07-30, , 
16,2016-07-31, , 
17,2016-08-04,10,8
18,2016-11-14, , 
19,2016-11-17,8,6
20,2016-11-18,8,10
21,2016-12-15,30,28
22,2016-12-16,39,19
23,2016-12-18,15,10
24,2016-12-22,1,4
25,2016-12-24,5,4
26,2016-12-26,39,32
27,2016-12-28, , 
28,2016-12-30, , 
29,2017-01-03,12,8
30,2017-01-05,2,6
31,2017-01-07,16,12
