,date,runs,balls
0,2016-02-09,2,6
1,2016-02-12,27,12
2,2016-02-14, , 
3,2016-02-24,31,18
4,2016-02-27,0,2
5,2016-03-01,2,4
6,2016-03-03, , 
7,2016-03-06, , 
8,2016-03-15,1,7
9,2016-03-19, , 
10,2016-03-23,15,7
11,2016-03-27, , 
12,2016-03-31, , 
13,2016-04-09,9,11
14,2016-04-13,9,10
15,2016-04-16,2,6
16,2016-04-18,2,5
17,2016-04-20,2,3
18,2016-04-23,2,2
19,2016-04-25,4,2
20,2016-04-28, , 
21,2016-05-01, , 
22,2016-05-08,7,16
23,2016-05-21,7,8
24,2017-01-26,9,12
25,2017-01-29,2,3
26,2017-02-01,11,4
