,date,runs,balls
0,2016-02-17,22,14
1,2016-02-19,15,10
2,2016-02-21,9,15
3,2016-03-16,15,15
4,2016-03-18,43,16
5,2016-03-23,5,7
6,2016-03-26,42,39
7,2016-03-30,78,44
8,2016-04-03,0,2
9,2016-05-20,25,14
10,2016-05-26,15,13
11,2016-06-03,109,67
12,2016-06-09,9,9
13,2016-06-10,28,17
14,2016-06-17,35,19
15,2016-07-05,0,3
16,2016-07-06,11,12
17,2016-07-08,5,9
18,2016-07-15,52,29
19,2016-07-21,50,25
20,2016-07-22,36,25
21,2016-07-29,120,62
22,2016-09-07,21,20
23,2016-12-20,27,18
24,2016-12-23,40,22
25,2016-12-31,18,11
26,2017-01-03,7,6
27,2017-01-26,19,11
28,2017-01-29,10,11
29,2017-02-01,32,23
