,date,runs,balls
0,2016-02-09,31,24
1,2016-02-12, , 
2,2016-02-14, , 
3,2016-02-24, , 
4,2016-02-27, , 
5,2016-03-01, , 
6,2016-03-06, , 
7,2016-03-15,10,20
8,2016-03-19, , 
9,2016-03-23,5,2
10,2016-03-27, , 
11,2016-03-31, , 
12,2016-04-09, , 
13,2016-04-14, , 
14,2016-04-17,1,2
15,2016-04-22,0,1
16,2016-04-24, , 
17,2016-04-26, , 
18,2016-04-29, , 
19,2016-05-01, , 
20,2016-05-05, , 
21,2016-05-07,10,5
22,2016-05-10,29,25
23,2016-05-14,0,4
24,2016-05-17, , 
25,2016-05-21,1,1
26,2016-08-27, , 
27,2016-08-28, , 
