,date,runs,balls
0,2016-02-06, , 
1,2016-02-07,9,9
2,2016-02-08,6,6
3,2016-02-11, , 
4,2016-02-13, , 
5,2016-02-14,2,10
6,2016-02-16,30,12
7,2016-02-19,23,18
8,2016-02-20,11,12
9,2016-02-22,1,3
10,2016-03-08,1,1
11,2016-03-10,17,11
12,2016-03-12,52,32
13,2016-03-17,3,4
14,2016-03-20,11,14
15,2016-03-23,12,10
16,2016-03-27,9,8
17,2016-11-08, , 
18,2016-11-09,5,11
19,2016-11-12,39,23
20,2016-11-14, , 
21,2016-11-17,15,10
22,2016-11-18,87,37
23,2016-11-21,46,24
24,2016-11-22,4,4
25,2016-11-27, , 
26,2016-11-29,17,8
27,2016-12-02,0,2
28,2016-12-03,12,7
29,2016-12-06,5,6
30,2016-12-14,26,23
31,2016-12-16,13,13
32,2016-12-18,7,6
33,2017-01-14,26,17
34,2017-01-16,11,8
35,2017-01-19,13,7
36,2017-01-20, , 
37,2017-01-20, , 
