,date,runs,balls
0,2016-02-19,6,8
1,2016-02-20,4,5
2,2016-02-22,24,14
3,2016-03-08,61,39
4,2016-03-10,41,40
5,2016-03-12,40,23
6,2016-03-17,8,12
7,2016-03-20,44,19
8,2016-03-23,4,3
9,2016-03-27,24,22
10,2016-11-09,80,52
11,2016-11-10,13,16
12,2016-11-12,11,15
13,2016-11-17,14,12
14,2016-11-18,51,49
15,2016-11-22,37,38
16,2016-11-25,18,26
17,2016-11-27,21,28
18,2016-11-28,12,11
19,2016-12-03,48,40
20,2016-12-04,45,31
21,2016-12-14,38,29
22,2016-12-16,31,12
23,2016-12-18,44,30
24,2017-01-14,29,27
25,2017-01-16,15,12
26,2017-01-19,31,31
27,2017-01-20,80,60
28,2017-01-20,52,40
