,date,runs,balls
0,2016-02-24,7,12
1,2016-02-27,49,51
2,2016-03-01,56,47
3,2016-03-03, , 
4,2016-03-06,41,28
5,2016-03-15,23,27
6,2016-03-19,55,37
7,2016-03-23,24,24
8,2016-03-27,82,51
9,2016-03-31,89,47
10,2016-04-12,75,51
11,2016-04-17,79,48
12,2016-04-20,33,30
13,2016-04-22,80,63
14,2016-04-24,100,63
15,2016-04-30,14,17
16,2016-05-02,52,44
17,2016-05-07,108,58
18,2016-05-09,20,21
19,2016-05-11,7,7
20,2016-05-14,109,55
21,2016-05-16,75,51
22,2016-05-18,113,50
23,2016-05-22,54,45
24,2016-05-24,0,2
25,2016-05-29,54,35
26,2016-08-27,16,9
27,2016-08-28, , 
28,2017-01-26,29,26
29,2017-01-29,21,15
30,2017-02-01,2,4
