,date,runs,balls
0,2016-02-09,3,4
1,2016-02-12,1,4
2,2016-02-14,9,7
3,2016-05-20,6,1
4,2016-05-27,0,3
5,2016-06-03, , 
6,2016-06-10,2,4
7,2016-07-05,1,3
8,2016-07-08,3,9
9,2016-07-15, , 
10,2016-07-19,1,2
11,2016-07-22,1,3
12,2016-07-29,1,1
13,2016-08-09, , 
14,2016-09-09,7,11
15,2016-11-12,13,5
16,2016-11-14,6,4
17,2016-11-17,8,11
18,2016-11-19,53,22
19,2016-11-21,34,16
20,2016-11-26,11,4
21,2016-11-27,10,8
22,2016-11-30,1,2
23,2016-12-04,14,8
24,2017-01-20,12,3
25,2017-01-22,2,5
26,2017-01-25,37,16
