,date,runs,balls
0,2016-02-05,51,51
1,2016-02-06,55,47
2,2016-02-07,14,19
3,2016-02-11,37,35
4,2016-02-12,80,58
5,2016-02-13,30,22
6,2016-03-02,7,4
7,2016-03-06,13,17
8,2016-03-09,83,58
9,2016-03-11,47,26
10,2016-03-13,103,63
11,2016-03-16,24,20
12,2016-03-23,35,32
13,2016-03-26,3,8
14,2016-11-08,54,38
15,2016-11-09,11,10
16,2016-11-12,3,12
17,2016-11-14,75,51
18,2016-11-17,26,35
19,2016-11-18,5,6
20,2016-11-21,30,27
21,2016-11-22,19,19
22,2016-11-27,62,48
23,2016-11-29,66,59
24,2016-12-02,74,59
25,2016-12-03,0,1
26,2016-12-06,51,46
27,2017-01-03,11,13
28,2017-01-06,13,7
29,2017-01-08,24,15
