,date,runs,balls
0,2016-05-20, , 
1,2016-06-01, , 
2,2016-06-03, , 
3,2016-06-10, , 
4,2016-06-16, , 
5,2016-06-26,7,2
6,2016-06-30, , 
7,2016-07-01, , 
8,2016-07-05, , 
9,2016-07-07,1,3
10,2016-07-15, , 
11,2016-07-21, , 
12,2016-07-28, , 
13,2016-11-08, , 
14,2016-11-09,5,3
15,2016-11-17,4,3
16,2016-12-04, , 
17,2016-12-11, , 
18,2016-12-17, , 
19,2016-12-18, , 
20,2016-12-22,0,0
21,2016-12-24, , 
22,2016-12-27, , 
23,2016-12-29,1,4
24,2017-01-01, , 
25,2017-01-03, , 
26,2017-01-11,0,0
27,2017-01-17, , 
28,2017-01-26, , 
29,2017-01-29, , 
30,2017-02-01,0,2
