,balls,date,fours,oppo,runs,sixes,srate,venue
0,7,18 Jan 2009,1,v South Africa,5,0,71.42,Hobart
1,60,23 Jan 2009,6,v South Africa,69,2,115.00,Sydney
2,7,26 Jan 2009,0,v South Africa,1,0,14.28,Adelaide
3,29,30 Jan 2009,1,v South Africa,22,1,75.86,Perth
4,18,1 Feb 2009,0,v New Zealand,7,0,38.88,Perth
5,11,6 Feb 2009,0,v New Zealand,2,0,18.18,Melbourne
6,5,28 Aug 2009,0,v Scotland,0,0,0.00,Edinburgh
7,17,19 Oct 2011,4,v South Africa,20,0,117.64,Centurion
8,97,23 Oct 2011,6,v South Africa,74,0,76.28,Port Elizabeth
9,18,28 Oct 2011,1,v South Africa,10,0,55.55,Durban
10,14,5 Feb 2012,0,v India,6,0,42.85,Melbourne
11,29,10 Feb 2012,4,v Sri Lanka,34,1,117.24,Perth
12,24,12 Feb 2012,2,v India,18,0,75.00,Adelaide
13,21,17 Feb 2012,2,v Sri Lanka,13,0,61.90,Sydney
14,46,19 Feb 2012,5,v India,43,1,93.47,Brisbane
15,13,24 Feb 2012,0,v Sri Lanka,7,0,53.84,Hobart
16,66,26 Feb 2012,7,v India,68,0,103.03,Sydney
17,6,2 Mar 2012,1,v Sri Lanka,6,0,100.00,Melbourne
18,157,4 Mar 2012,13,v Sri Lanka,163,2,103.82,Brisbane
19,140,6 Mar 2012,4,v Sri Lanka,100,1,71.42,Adelaide
20,45,8 Mar 2012,5,v Sri Lanka,48,1,106.66,Adelaide
21,55,16 Mar 2012,5,v West Indies,40,0,72.72,Kingstown
22,20,18 Mar 2012,1,v West Indies,13,0,65.00,Kingstown
23,51,20 Mar 2012,6,v West Indies,37,0,72.54,Kingstown
24,4,23 Mar 2012,0,v West Indies,1,0,25.00,Gros Islet
25,61,25 Mar 2012,10,v West Indies,69,1,113.11,Gros Islet
26,61,29 Jun 2012,6,v England,56,1,91.80,Lord's
27,20,1 Jul 2012,2,v England,10,0,50.00,The Oval
28,19,7 Jul 2012,0,v England,2,0,10.52,Chester-le-Street
29,32,10 Jul 2012,4,v England,32,1,100.00,Manchester
30,18,25 Aug 2012,4,v Afghanistan,24,0,133.33,Sharjah
31,11,28 Aug 2012,1,v Pakistan,5,0,45.45,Sharjah
32,68,31 Aug 2012,2,v Pakistan,24,0,35.29,Abu Dhabi
33,33,3 Sep 2012,3,v Pakistan,21,1,63.63,Sharjah
34,11,18 Jan 2013,0,v Sri Lanka,4,0,36.36,Brisbane
35,73,20 Jan 2013,6,v Sri Lanka,60,0,82.19,Sydney
36,18,23 Jan 2013,1,v Sri Lanka,10,0,55.55,Hobart
37,21,8 Jun 2013,1,v England,9,0,42.85,Birmingham
38,72,12 Jan 2014,5,v England,65,1,90.27,Melbourne
39,14,17 Jan 2014,2,v England,18,0,128.57,Brisbane
40,70,19 Jan 2014,7,v England,71,2,101.42,Sydney
41,63,7 Oct 2014,5,v Pakistan,43,0,68.25,Sharjah
42,27,10 Oct 2014,5,v Pakistan,29,0,107.40,Dubai (DSC)
43,63,12 Oct 2014,6,v Pakistan,56,1,88.88,Abu Dhabi
44,49,14 Nov 2014,1,v South Africa,46,3,93.87,Perth
45,5,16 Nov 2014,0,v South Africa,0,0,0.00,Perth
46,50,19 Nov 2014,6,v South Africa,53,2,106.00,Canberra
47,8,21 Nov 2014,0,v South Africa,4,0,50.00,Melbourne
48,16,23 Nov 2014,3,v South Africa,21,1,131.25,Sydney
49,115,16 Jan 2015,18,v England,127,0,110.43,Sydney
50,22,18 Jan 2015,3,v India,24,0,109.09,Melbourne
51,18,1 Feb 2015,2,v England,12,0,66.66,Perth
52,18,14 Feb 2015,3,v England,22,0,122.22,Melbourne
53,42,28 Feb 2015,2,v New Zealand,34,1,80.95,Auckland
54,133,4 Mar 2015,19,v Afghanistan,178,5,133.83,Perth
55,12,8 Mar 2015,1,v Sri Lanka,9,0,75.00,Sydney
56,6,14 Mar 2015,2,v Scotland,21,2,350.00,Hobart
57,23,20 Mar 2015,3,v Pakistan,24,0,104.34,Adelaide
58,7,26 Mar 2015,1,v India,12,1,171.42,Sydney
59,46,29 Mar 2015,7,v New Zealand,45,0,97.82,Melbourne
60,80,27 Aug 2015,7,v Ireland,84,3,105.00,Belfast
61,67,3 Sep 2015,6,v England,59,0,88.05,Southampton
62,1,5 Sep 2015,0,v England,1,0,100.00,Lord's
63,10,12 Jan 2016,1,v India,5,0,50.00,Perth
64,92,20 Jan 2016,12,v India,93,1,101.08,Canberra
65,113,23 Jan 2016,9,v India,122,3,107.96,Sydney
