,date,econ,mdns,oppo,overs,runs,venue,wickets
0,17 Apr 1998,3.20,0,v New Zealand,10.0,32,Sharjah,1
1,19 Apr 1998,4.10,0,v Australia,10.0,41,Sharjah,3
2,20 Apr 1998,3.00,1,v New Zealand,10.0,30,Sharjah,0
3,22 Apr 1998,7.87,0,v Australia,8.0,63,Sharjah,1
4,25 May 1998,4.50,0,v Bangladesh,4.0,18,Mumbai,0
5,19 Jun 1998,4.50,0,v Sri Lanka,10.0,45,Colombo (RPS),1
6,23 Jun 1998,3.33,0,v New Zealand,9.0,30,Colombo (RPS),2
7,1 Jul 1998,5.00,0,v Sri Lanka,7.0,35,Colombo (SSC),2
8,3 Jul 1998,3.25,0,v New Zealand,8.0,26,Colombo (SSC),2
9,7 Jul 1998,5.70,0,v Sri Lanka,10.0,57,Colombo (RPS),1
10,26 Sep 1998,3.60,1,v Zimbabwe,10.0,36,Bulawayo,3
11,27 Sep 1998,5.00,1,v Zimbabwe,9.0,45,Bulawayo,1
12,30 Sep 1998,3.20,0,v Zimbabwe,10.0,32,Harare,1
13,25 Mar 2001,5.12,0,v Australia,8.0,41,Bangalore,0
14,28 Mar 2001,4.60,0,v Australia,10.0,46,Pune,0
15,31 Mar 2001,4.11,0,v Australia,9.0,37,Indore,3
16,3 Apr 2001,5.80,0,v Australia,10.0,58,Visakhapatnam,1
17,6 Apr 2001,5.50,0,v Australia,10.0,55,Margao,0
18,24 Jun 2001,3.11,1,v Zimbabwe,9.0,28,Harare,0
19,27 Jun 2001,4.66,0,v Zimbabwe,9.0,42,Bulawayo,0
20,4 Jul 2001,3.30,1,v West Indies,10.0,33,Harare,1
21,7 Jul 2001,3.50,2,v West Indies,10.0,35,Harare,1
22,20 Jul 2001,2.50,1,v New Zealand,10.0,25,Colombo (RPS),2
23,22 Jul 2001,2.90,1,v Sri Lanka,10.0,29,Colombo (RPS),3
24,26 Jul 2001,5.25,1,v New Zealand,8.0,42,Colombo (RPS),1
25,28 Jul 2001,3.20,1,v Sri Lanka,10.0,32,Colombo (RPS),2
26,1 Aug 2001,3.00,0,v Sri Lanka,10.0,30,Colombo (SSC),1
27,2 Aug 2001,4.60,1,v New Zealand,10.0,46,Colombo (SSC),0
