,balls,date,fours,oppo,runs,sixes,srate,venue
0,3,24 Mar 2002,0,v South Africa,2,0,66.66,Centurion
1,14,27 Mar 2002,1,v South Africa,8,0,57.14,Potchefstroom
2,13,6 Apr 2002,1,v South Africa,11,0,84.61,Port Elizabeth
3,26,9 Apr 2002,1,v South Africa,16,0,61.53,Cape Town
4,28,15 Jun 2002,0,v Pakistan,8,0,28.57,Melbourne (Docklands)
5,78,19 Jun 2002,4,v Pakistan,44,0,56.41,Brisbane
6,6,30 Aug 2002,0,v Pakistan,10,1,166.66,Nairobi (Gym)
7,113,5 Sep 2002,4,v Kenya,77,2,68.14,Nairobi (Gym)
8,9,15 Sep 2002,1,v New Zealand,19,1,211.11,Colombo (SSC)
9,26,27 Sep 2002,0,v Sri Lanka,7,0,26.92,Colombo (RPS)
10,12,15 Dec 2002,0,v England,9,0,75.00,Melbourne
11,22,22 Dec 2002,0,v Sri Lanka,25,0,113.63,Perth
12,35,9 Jan 2003,3,v Sri Lanka,35,0,100.00,Sydney
13,10,15 Jan 2003,0,v Sri Lanka,4,0,40.00,Brisbane
14,30,19 Jan 2003,0,v England,13,0,43.33,Adelaide
15,33,29 May 2004,2,v Zimbabwe,18,0,54.54,Harare
16,6,4 Sep 2004,1,v Pakistan,7,0,116.66,Lord's
17,7,5 Dec 2004,0,v New Zealand,3,0,42.85,Melbourne (Docklands)
18,5,4 Feb 2005,0,v Pakistan,4,0,80.00,Melbourne
19,25,6 Feb 2005,0,v Pakistan,21,1,84.00,Sydney
20,36,19 Jun 2005,1,v England,25,1,69.44,Bristol
21,7,23 Jun 2005,1,v England,11,0,157.14,Chester-le-Street
22,13,7 Jul 2005,0,v England,3,0,23.07,Leeds
23,15,5 Oct 2005,0,v ICC World XI,8,0,53.33,Melbourne (Docklands)
24,66,9 Oct 2005,4,v ICC World XI,66,0,100.00,Melbourne (Docklands)
25,38,26 Feb 2006,1,v South Africa,22,0,57.89,Centurion
26,39,3 Mar 2006,3,v South Africa,27,0,69.23,Cape Town
27,3,5 Mar 2006,0,v South Africa,4,0,133.33,Port Elizabeth
28,15,12 Sep 2006,0,v West Indies,2,0,13.33,Kuala Lumpur
29,74,16 Sep 2006,10,v India,79,2,106.75,Kuala Lumpur
30,7,18 Sep 2006,0,v West Indies,0,0,0.00,Kuala Lumpur
31,27,24 Sep 2006,3,v West Indies,18,0,66.66,Kuala Lumpur
32,3,18 Oct 2006,0,v West Indies,0,0,0.00,Mumbai (BS)
33,26,21 Oct 2006,3,v England,21,0,80.76,Jaipur
34,46,29 Oct 2006,8,v India,50,0,108.69,Mohali
35,4,1 Nov 2006,0,v New Zealand,0,0,0.00,Mohali
36,88,5 Nov 2006,4,v West Indies,57,0,64.77,Mumbai (BS)
37,13,9 Feb 2007,0,v England,9,0,69.23,Melbourne
38,44,11 Feb 2007,4,v England,37,1,84.09,Sydney
39,32,16 Feb 2007,0,v New Zealand,8,0,25.00,Wellington
40,69,20 Feb 2007,8,v New Zealand,68,0,98.55,Hamilton
41,11,14 Mar 2007,3,v Scotland,18,0,163.63,Basseterre
42,4,18 Mar 2007,1,v Netherlands,12,1,300.00,Basseterre
43,9,24 Mar 2007,2,v South Africa,14,0,155.55,Basseterre
44,26,27 Mar 2007,3,v West Indies,33,1,126.92,North Sound
