Start Time,End Time,Plaza,Direction,E-ZPass Total Vehicle Count,Cash Total Vehicle Count
01/01/2013 12:00:00 AM,01/01/2013 01:00:00 AM,6,N,196,85
01/01/2013 12:00:00 AM,01/01/2013 01:00:00 AM,6,S,147,86
01/01/2013 01:00:00 AM,01/01/2013 02:00:00 AM,6,N,320,141
01/01/2013 01:00:00 AM,01/01/2013 02:00:00 AM,6,S,251,149
01/01/2013 02:00:00 AM,01/01/2013 03:00:00 AM,6,N,238,121
01/01/2013 02:00:00 AM,01/01/2013 03:00:00 AM,6,S,164,97
01/01/2013 03:00:00 AM,01/01/2013 04:00:00 AM,6,N,176,101
01/01/2013 03:00:00 AM,01/01/2013 04:00:00 AM,6,S,105,67
01/01/2013 04:00:00 AM,01/01/2013 05:00:00 AM,6,N,130,78
01/01/2013 04:00:00 AM,01/01/2013 05:00:00 AM,6,S,80,62
01/01/2013 05:00:00 AM,01/01/2013 06:00:00 AM,6,N,95,68
01/01/2013 05:00:00 AM,01/01/2013 06:00:00 AM,6,S,102,47
01/01/2013 06:00:00 AM,01/01/2013 07:00:00 AM,6,N,94,63
01/01/2013 06:00:00 AM,01/01/2013 07:00:00 AM,6,S,233,82
01/01/2013 07:00:00 AM,01/01/2013 08:00:00 AM,6,N,142,75
01/01/2013 07:00:00 AM,01/01/2013 08:00:00 AM,6,S,167,58
01/01/2013 08:00:00 AM,01/01/2013 09:00:00 AM,6,N,197,94
01/01/2013 08:00:00 AM,01/01/2013 09:00:00 AM,6,S,167,51
01/01/2013 09:00:00 AM,01/01/2013 10:00:00 AM,6,N,271,135
01/01/2013 09:00:00 AM,01/01/2013 10:00:00 AM,6,S,213,75
01/01/2013 10:00:00 AM,01/01/2013 11:00:00 AM,6,N,354,162
01/01/2013 10:00:00 AM,01/01/2013 11:00:00 AM,6,S,355,131
01/01/2013 11:00:00 AM,01/01/2013 12:00:00 PM,6,N,486,207
01/01/2013 11:00:00 AM,01/01/2013 12:00:00 PM,6,S,570,182
01/01/2013 12:00:00 PM,01/01/2013 01:00:00 PM,6,N,594,240
01/01/2013 12:00:00 PM,01/01/2013 01:00:00 PM,6,S,763,258
01/01/2013 01:00:00 PM,01/01/2013 02:00:00 PM,6,N,688,276
01/01/2013 01:00:00 PM,01/01/2013 02:00:00 PM,6,S,940,273
01/01/2013 02:00:00 PM,01/01/2013 03:00:00 PM,6,N,677,324
01/01/2013 02:00:00 PM,01/01/2013 03:00:00 PM,6,S,1037,325
01/01/2013 03:00:00 PM,01/01/2013 04:00:00 PM,6,N,708,351
01/01/2013 03:00:00 PM,01/01/2013 04:00:00 PM,6,S,1024,350
01/01/2013 04:00:00 PM,01/01/2013 05:00:00 PM,6,N,605,278
01/01/2013 04:00:00 PM,01/01/2013 05:00:00 PM,6,S,1002,369
